No,제목,회사,지역,Link
37,[한국금융분석원] 스몰캡 기업분석 애널리스트 모집,한국금융분석원 주식회사,서울 동작구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603110002287&src=etc*search
38,[ICT] Service Planner - 데이터 파이프라인,현대자동차(주),서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603200001067&src=etc*search
39,보험사 대상 AI/데이터 컨설팅,(주)피플케어코리아,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602190001182&src=etc*search
40,[비즈테크아이] 데이터엔지니어링 PM/PL,주식회사 비즈테크아이,서울 마포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180000248&src=etc*search
41,예산관리 및 수익성 분석,(주)세스코,서울 강동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020000880&src=etc*search
42,GCP 데이터 엔지니어 모집,마이데이터(주),서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602020000402&src=etc*search
43,인프라 데이터센터 매니저,(주)인코리아 프로페셔널,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603050003327&src=etc*search
44,장소 데이터 운영 지원 어시스턴트,주식회사 카카오,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603160000258&src=etc*search
45,위생인증 시험분석(계약직),(주)세스코,서울 강동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020000992&src=etc*search
46,대기 자가측정 분석을 위한 열정적인 분석가를 찾습니다.,주식회사 세원환경기술,충남 천안시 서북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300002849&src=etc*search
47,[주식회사 빅히트] 오래 함께 일할 웹디자이너 구합니다.,(주)빅히트,경기 부천시 오정구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602040000803&src=etc*search
48,분석연구팀 팀원 - 완제의약품 분석 연구 및 허가 등,(주)에이치알그룹,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603110003593&src=etc*search
49,스포츠 데이터 저널리스트 (축구),스코어스앤드컴퍼니 주식회사,경남 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010002121&src=etc*search
50,글로벌 수출 정보 분석 및 리서치팀 인턴(채용전환형),이씨이십일알앤씨(주),서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310000752&src=etc*search
51,[수원 광교]바이오벤처 이미지 분석 AI 개발자 모집,(주)프로써치코리아,경기 수원시 영통구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603220000116&src=etc*search
52,위성영상 데이터 작업자 채용 (근무지 대전),(주) 인디웨어,대전 유성구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180003396&src=etc*search
53,[CJ올리브영] 데이터 사업 담당자,CJ 올리브영,서울 용산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250000265&src=etc*search
